Àth-Tharracail	Highland	v	56.7496	-5.8038
Àird	Highland	v	57.8413	-5.5958
Àird Tobha	Highland	h	56.7645	-5.8742
Àird Mhìghe	Na h-Eileanan an Iar	h	57.7762	-6.9134
Àird Cumhang	Na h-Eileanan an Iar	h	57.4104	-7.2554
Àird nan Strùban	Na h-Eileanan an Iar	h	57.4961	-7.2684
Àird Dhail	Na h-Eileanan an Iar	h	58.4725	-6.3245
Àird Uig	Na h-Eileanan an Iar	h	58.2314	-7.0286
Àird Mhìghe	Na h-Eileanan an Iar	o	57.8325	-6.8592
Àird	Na h-Eileanan an Iar	o	57.4671	-7.4014
Àird Mhithinis	Na h-Eileanan an Iar	o	57.0039	-7.4284
Àird Mhòr	Na h-Eileanan an Iar	o	57.0132	-7.4304
Àird Asaig	Na h-Eileanan an Iar	o	57.9193	-6.8533
Àird a' Mhulaidh	Na h-Eileanan an Iar	o	57.9952	-6.7586
